address,flag,minTimeBetweenSentTnx,maxTimeBetweenSentTnx,avgTimeBetweenSentTnx,minTimeBetweenRecTnx,maxTimeBetweenRecTnx,avgTimeBetweenRecTnx,lifetime,sentTransactions,receivedTransactions,createdContracts,Average_of_numUniqSentAddress,Average_of_numUniqRecAddress,minValSent,maxValSent,avgValSent,minValReceived,maxValReceived,avgValReceived,totalTransactions,totalEtherSent,totalEtherReceived,totalEtherBalance,activityDays,dailyMax,ratioRecSent,ratioSentTotal,ratioRecTotal,giniSent,giniRec,txFreq,stdBalanceEth
0x37f6e167a71996cc94d76f34591d597a805270fe,1,0,0,0,343,1538330171,256403731.8,21,1,6,0,1,5,7.848857,7.848857,7.848857,0.18,2.99,1.308489,7,7.84885708,7.85093608,0.002079,3,5,3,0.125,0.75,0,0.387240243,0.333333333,2.986646515
0x37faea605eea87645f169695aef9b8baa7849a57,0,0,0,0,217995,1643632598,42616439.79,214,1,39,0,1,1,0.008956,0.008956,0.008956,0.010937,0.106196,0.092744,40,0.008955909,3.61700605,3.60805014,39,2,19.5,0.024390244,0.951219512,0,0.069794568,0.186915888,1.121649503
0x37ff0c3830a3898375784d30a63d929a560366ee,0,57,1576302,121948.4783,3567,1658251520,276590724.8,43,23,6,0,10,4,0,0.19,0.039114,0.007,0.3088,0.163947,29,0.899632047,0.98368379,0.084051743,13,12,0.25,0.766666667,0.2,0.675443502,0.315427016,0.674418605,0.077871912
0x380028695b5bfe7b6c26619915efa8e8ec38f607,0,0,765366,52113.06061,375,1653372400,97531409.82,93,66,17,0,21,4,0,0.024,0.004407,0.013,0.054564,0.022371,83,0.290844682,0.38031457,0.089469888,76,5,0.253731343,0.785714286,0.202380952,0.712544928,0.201241899,0.892473118,0.024872746
0x3802b5311c99845fc41c31a0ca99a27f7ba2042d,1,341591,12358885,6350238,4,1594508303,88584563.44,148,2,18,0,2,18,6.2,92,49.1,0.0005,20,5.455736,20,98.2,98.20324257,0.003242566,3,18,6,0.095238095,0.857142857,0.436863543,0.447547436,0.135135135,29.66953291
0x380b804403f6f171ceeeb4ee49966f2aba6e66ac,0,271,20994738,6606321.8,303,1618605113,325045695.6,459,5,5,0,5,4,0,0.205,0.049356,0.015249,0.221045,0.102916,10,0.246779617,0.51457784,0.267798223,8,3,0.833333333,0.454545455,0.454545455,0.715664815,0.458903653,0.021786492,0.106270203
0x380fbbe893826049941d0db5e88fb3fbd60a7657,1,270971,833878,552424.5,0,0,0,13,2,1,0,2,1,300,334.99181,317.495905,635,635,635,3,634.99181,635,0.00819,3,1,0.333333333,0.5,0.25,0.027552962,0,0.230769231,259.3654889
0x3810147bdfa6b43ddb38d3017c7020565ae4355d,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1.319065,1.319065,1.319065,1,0,1.319065344,1.319065344,1,1,1,0,0.5,0,0,1,0
0x3810bd434103f1d0618b909ba14e4d2d707d79f7,1,0,0,0,0,0,0,5,1,1,0,1,1,0.031683,0.031683,0.031683,0.032778,0.032778,0.032778,2,0.031683075,0.03277762,0.001094545,2,1,0.5,0.333333333,0.333333333,0,0,0.4,0.015841538
0x38146b5889c1c5a0f258e96584cc50c0f1a75275,0,72,3573835,256752.2609,14805,1632393330,127105505.2,300,23,13,0,10,4,0,0.902611,0.133379,0.00623,0.962611,0.200213,36,3.067712506,2.602774511,-0.464937994,35,2,0.541666667,0.621621622,0.351351351,0.707185852,0.609248592,0.12,0.210754647
0x3814c3dee17a7660e5240d7b2352734e853f60bb,1,0,0,0,0,0,0,1,1,0,0,1,0,0.49962,0.49962,0.49962,0,0,0,1,0.49962,0,-0.49962,1,1,0,0.5,0,0,0,1,0
